,Name,City,Country,IATA,ICAO
1155,Tanga Airport,Tanga,Tanzania,TGT,HTTG
1156,Abeid Amani Karume International Airport,Zanzibar,Tanzania,ZNZ,HTZA
1157,Entebbe International Airport,Entebbe,Uganda,EBB,HUEN
1158,Soroti Airport,Soroti,Uganda,SRT,HUSO
3211,Borg El Arab International Airport,Alexandria,Egypt,HBE,HEBA
3838,Sharm El Sheikh International Airport,Sharm El Sheikh,Egypt,SSH,HESH
3840,Jomo Kenyatta International Airport,Nairobi,Kenya,NBO,HKJK
3841,Seronera Airport,Seronera,Tanzania,SEU,HTSN
3897,Mafia Island Airport,Mafia Island,Tanzania,MFA,HTMA
3932,Yaoundé Nsimalen International Airport,Yaounde,Cameroon,NSI,FKYS
3933,Conakry International Airport,Conakry,Guinea,CKY,GUCY
3963,Marsa Alam International Airport,Marsa Alam,Egypt,RMF,HEMA
4050,Taba International Airport,Taba,Egypt,TCP,HETB
4053,Tabarka 7 Novembre Airport,Tabarka,Tunisia,TBJ,DTKA
4258,Batna Airport,Batna,Algeria,BLJ,DABT
4259,Béchar Boudghene Ben Ali Lotfi Airport,Béchar,Algeria,CBH,DAOR
4260,Bordj Badji Mokhtar Airport,Bordj Badji Mokhtar,Algeria,BMW,DATM
4261,Guemar Airport,Guemar,Algeria,ELU,DAUO
4262,Kumasi Airport,Kumasi,Ghana,KMS,DGSI
4306,Rand Airport,Johannesburg,South Africa,QRA,FAGM
4307,Kruger Mpumalanga International Airport,Mpumalanga,South Africa,MQP,FAKN
4308,Malamala Airport,Malamala,South Africa,AAM,FAMD
4309,Mmabatho International Airport,Mafeking,South Africa,MBD,FAMM
4310,Ghanzi Airport,Ghanzi,Botswana,GNZ,FBGZ
4311,Orapa Airport,Orapa,Botswana,ORP,FBOR
4312,Shakawe Airport,Shakawe,Botswana,SWX,FBSW
4313,Limpopo Valley Airport,Tuli Lodge,Botswana,TLD,FBTL
4314,Ngot Nzoungou Airport,Loubomo,Congo (Brazzaville),DIS,FCPL
4315,Chipata Airport,Chipata,Zambia,CIP,FLCP
4316,Los Alamitos Army Air Field,Solwesi,Zambia,\N,KSLI
4317,Iconi Airport,Moroni,Comoros,YVA,FMCN
4318,Antsalova Airport,Antsalova,Madagascar,WAQ,FMMG
4319,Ankavandra Airport,Ankavandra,Madagascar,JVA,FMMK
4320,Belo sur Tsiribihina Airport,Belo sur Tsiribihina,Madagascar,BMD,FMML
4321,Maintirano Airport,Maintirano,Madagascar,MXT,FMMO
4322,Morafenobe Airport,Morafenobe,Madagascar,TVA,FMMR
4323,Tambohorano Airport,Tambohorano,Madagascar,WTA,FMMU
4324,Tsiroanomandidy Airport,Tsiroanomandidy,Madagascar,WTS,FMMX
4325,Ambatondrazaka Airport,Ambatondrazaka,Madagascar,WAM,FMMZ
4326,Port Bergé Airport,Port Bergé,Madagascar,WPB,FMNG
4327,Ambanja Airport,Ambanja,Madagascar,\N,FMNJ
4328,Soalala Airport,Soalala,Madagascar,DWB,FMNO
4329,Mampikony Airport,Mampikony,Madagascar,WMP,FMNP
4330,Nasa Shuttle Landing Facility Airport,Tsaratanana,Madagascar,\N,KTTS
4331,Mandritsara Airport,Mandritsara,Madagascar,WMA,FMNX
4332,Manja Airport,Manja,Madagascar,MJA,FMSJ
4333,Catumbela Airport,Catumbela,Angola,CBT,FNCT
