,Name,City,Country,IATA,ICAO
2860,Porbandar Airport,Porbandar,India,PBD,VAPR
2861,Rajkot Airport,Rajkot,India,RAJ,VARK
2862,Raipur Airport,Raipur,India,RPR,VARP
2863,Solapur Airport,Sholapur,India,SSE,VASL
2864,Surat Airport,Surat,India,STV,VASU
2865,Maharana Pratap Airport,Udaipur,India,UDR,VAUD
2866,Bandaranaike International Colombo Airport,Colombo,Sri Lanka,CMB,VCBI
2867,Anuradhapura Air Force Base,Anuradhapura,Sri Lanka,ACJ,VCCA
2868,Batticaloa Airport,Batticaloa,Sri Lanka,BTC,VCCB
2869,Colombo Ratmalana Airport,Colombo,Sri Lanka,RML,VCCC
2870,Ampara Airport,Galoya,Sri Lanka,ADP,VCCG
2871,Kankesanturai Airport,Jaffna,Sri Lanka,JAF,VCCJ
2872,China Bay Airport,Trinciomalee,Sri Lanka,TRR,VCCT
2873,Kampong Chhnang Airport,Kompong Chnang,Cambodia,KZC,VDKH
2874,Phnom Penh International Airport,Phnom-penh,Cambodia,PNH,VDPP
2875,Siem Reap International Airport,Siem-reap,Cambodia,REP,VDSR
2876,Stung Treng Airport,Stung Treng,Cambodia,TNX,VDST
2877,Along Airport,Along,India,IXV,VEAN
2878,Agartala Airport,Agartala,India,IXA,VEAT
2879,Lengpui Airport,Aizwal,India,AJL,VELP
2880,Bagdogra Airport,Baghdogra,India,IXB,VEBD
2881,Bokaro Airport,Bokaro,India,\N,VEBK
2882,Biju Patnaik Airport,Bhubaneswar,India,BBI,VEBS
2883,Netaji Subhash Chandra Bose International Airport,Kolkata,India,CCU,VECC
2884,Cooch Behar Airport,Cooch-behar,India,COH,VECO
2885,Dhanbad Airport,Dhanbad,India,DBD,VEDB
2886,Gaya Airport,Gaya,India,GAY,VEGY
2887,Hirakud Airport,Hirakud,India,\N,VEHK
2888,Imphal Airport,Imphal,India,IMF,VEIM
2889,Jharsuguda Airport,Jharsuguda,India,\N,VEJH
2890,Sonari Airport,Jamshedpur,India,IXW,VEJS
2891,Jorhat Airport,Jorhat,India,JRH,VEJT
2892,Kailashahar Airport,Kailashahar,India,IXH,VEKR
2893,Silchar Airport,Silchar,India,IXS,VEKU
2894,North Lakhimpur Airport,Lilabari,India,IXI,VELR
2895,Dibrugarh Airport,Mohanbari,India,DIB,VEMN
2896,Muzaffarpur Airport,Mazuffarpur,India,MZU,VEMZ
2897,Nawapara Airport,Nawapara,India,\N,VENP
2898,Panagarh Air Force Station,Panagarh,India,\N,VEPH
2899,Lok Nayak Jayaprakash Airport,Patina,India,PAT,VEPT
2900,Purnea Airport,Purnea,India,\N,VEPU
2901,Birsa Munda Airport,Ranchi,India,IXR,VERC
2902,Rourkela Airport,Rourkela,India,RRK,VERK
2903,Utkela Airport,Utkela,India,\N,VEUK
2904,Vishakhapatnam Airport,Vishakhapatnam,India,VTZ,VEVZ
2905,Ziro Airport,Zero,India,ZER,VEZO
2906,Cox's Bazar Airport,Cox's Bazar,Bangladesh,CXB,VGCB
2907,Shah Amanat International Airport,Chittagong,Bangladesh,CGP,VGEG
2908,Ishurdi Airport,Ishurdi,Bangladesh,IRD,VGIS
2909,Jessore Airport,Jessore,Bangladesh,JSR,VGJR
2910,Shah Mokhdum Airport,Rajshahi,Bangladesh,RJH,VGRJ
2911,Saidpur Airport,Saidpur,Bangladesh,SPD,VGSD
2912,Osmany International Airport,Sylhet Osmani,Bangladesh,ZYL,VGSY
2913,Tejgaon Airport,Dhaka,Bangladesh,\N,VGTJ
2914,Hazrat Shahjalal International Airport,Dhaka,Bangladesh,DAC,VGZR
2915,Hong Kong International Airport,Hong Kong,Hong Kong,HKG,VHHH
2916,Shek Kong Air Base,Sek Kong,Hong Kong,\N,VHSK
2917,Agra Airport,Agra,India,AGR,VIAG
2918,Allahabad Airport,Allahabad,India,IXD,VIAL
2919,Sri Guru Ram Dass Jee International Airport,Amritsar,India,ATQ,VIAR
2920,Nal Airport,Bikaner,India,BKB,VIBK
2921,Bakshi Ka Talab Air Force Station,Bakshi Ka Talab,India,\N,VIBL
2922,Lal Bahadur Shastri Airport,Varanasi,India,VNS,VIBN
2923,Kullu Manali Airport,Kulu,India,KUU,VIBR
2924,Bhatinda Air Force Station,Bhatinda,India,BUP,VIBT
2925,Bhiwani Airport,Bhiwani,India,\N,VIBW
2926,Bareilly Air Force Station,Bareilly,India,BEK,VIBY
2927,Chandigarh Airport,Chandigarh,India,IXC,VICG
2928,Kanpur Airport,Kanpur,India,KNU,VICX
2929,Safdarjung Airport,Delhi,India,\N,VIDD
2930,Dehradun Airport,Dehra Dun,India,DED,VIDN
2931,Indira Gandhi International Airport,Delhi,India,DEL,VIDP
2932,Gwalior Airport,Gwalior,India,GWL,VIGR
2933,Hissar Airport,Hissar,India,HSS,VIHR
2934,Jhansi Airport,Jhansi,India,\N,VIJN
2935,Jodhpur Airport,Jodhpur,India,JDH,VIJO
2936,Jaipur International Airport,Jaipur,India,JAI,VIJP
2937,Jaisalmer Airport,Jaisalmer,India,JSA,VIJR
2938,Jammu Airport,Jammu,India,IXJ,VIJU
2939,Kanpur Civil Airport,Kanpur,India,\N,VIKA
2940,Kota Airport,Kota,India,KTU,VIKO
2941,Ludhiana Airport,Ludhiaha,India,LUH,VILD
2942,Leh Kushok Bakula Rimpochee Airport,Leh,India,IXL,VILH
2943,Chaudhary Charan Singh International Airport,Lucknow,India,LKO,VILK
2944,Pathankot Airport,Pathankot,India,IXP,VIPK
2945,Patiala Airport,Patiala,India,\N,VIPL
2946,Pantnagar Airport,Nainital,India,PGH,VIPT
2947,Fursatganj Airport,Raibarelli,India,\N,VIRB
2948,Sarsawa Air Force Station,Saharanpur,India,\N,VISP
2949,Sheikh ul Alam Airport,Srinagar,India,SXR,VISR
2950,Satna Airport,Satna,India,TNI,VIST
2951,Luang Phabang International Airport,Luang Prabang,Laos,LPQ,VLLB
2952,Pakse International Airport,Pakse,Laos,PKZ,VLPS
2953,Phonesavanh Airport,Phong Savanh,Laos,\N,VLPV
2954,Savannakhet Airport,Savannakhet,Laos,ZVK,VLSK
